       1       109       130       131       112
       2       130       152       157       131
       3       152       178       180       157
       4       178       205       207       180
       5       205       229       231       207
       6       229       256       261       231
       7       256       286       293       261
       8       286       319       321       293
       9       319       352       355       321
      10       352       383       385       355
      11       112       131       138       116
      12       131       157       161       138
      13       157       180       181       161
      14       180       207       209       181
      15       207       231       233       209
      16       231       261       266       233
      17       261       293       295       266
      18       293       321       324       295
      19       321       355       356       324
      20       355       385       388       356
      21       116       138       143       119
      22       138       161       162       143
      23       161       181       187       162
      24       181       209       214       187
      25       209       233       240       214
      26       233       266       270       240
      27       266       295       297       270
      28       295       324       330       297
      29       324       356       361       330
      30       356       388       393       361
      31       119       143       146       126
      32       143       162       170       146
      33       162       187       193       170
      34       187       214       217       193
      35       214       240       245       217
      36       240       270       273       245
      37       270       297       303       273
      38       297       330       334       303
      39       330       361       367       334
      40       361       393       397       367
      41       126       146       153       135
      42       146       170       176       153
      43       170       193       198       176
      44       193       217       227       198
      45       217       245       252       227
      46       245       273       280       252
      47       273       303       309       280
      48       303       334       339       309
      49       334       367       373       339
      50       367       397       404       373
      51       135       153       164       144
      52       153       176       189       164
      53       176       198       210       189
      54       198       227       237       210
      55       227       252       263       237
      56       252       280       292       263
      57       280       309       316       292
      58       309       339       348       316
      59       339       373       381       348
      60       373       404       407       381
      61       144       164       173       158
      62       164       189       196       173
      63       189       210       223       196
      64       210       237       248       223
      65       237       263       274       248
      66       263       292       301       274
      67       292       316       333       301
      68       316       348       362       333
      69       348       381       390       362
      70       381       407       416       390
      71       158       173       191       171
      72       173       196       212       191
      73       196       223       234       212
      74       223       248       254       234
      75       248       274       284       254
      76       274       301       312       284
      77       301       333       341       312
      78       333       362       377       341
      79       362       390       403       377
      80       390       416       423       403
      81       171       191       203       185
      82       191       212       225       203
      83       212       234       250       225
      84       234       254       275       250
      85       254       284       299       275
      86       284       312       329       299
      87       312       341       358       329
      88       341       377       384       358
      89       377       403       409       384
      90       403       423       432       409
      91       185       203       220       200
      92       203       225       243       220
      93       225       250       268       243
      94       250       275       290       268
      95       275       299       314       290
      96       299       329       343       314
      97       329       358       371       343
      98       358       384       401       371
      99       384       409       420       401
     100       409       432       436       420
     201        88        92        75        72
     202        92        93        79        75
     203        93        98        83        79
     204        98       105        84        83
     205       105       115        95        84
     206       115       125       107        95
     207       125       139       122       107
     208       139       150       134       122
     209       150       166       148       134
     210       166       182       167       148
     211       182       199       186       167
     212       199       221       202       186
     213       221       244       224       202
     214       244       267       249       224
     215       267       291       276       249
     216       291       315       298       276
     217       315       344       328       298
     218       344       372       359       328
     219       372       400       386       359
     220       400       421       410       386
     221        72        75        59        58
     222        75        79        64        59
     223        79        83        67        64
     224        83        84        70        67
     225        84        95        80        70
     226        95       107        89        80
     227       107       122       103        89
     228       122       134       118       103
     229       134       148       132       118
     230       148       167       149       132
     231       167       186       172       149
     232       186       202       192       172
     233       202       224       213       192
     234       224       249       235       213
     235       249       276       257       235
     236       276       298       283       257
     237       298       328       313       283
     238       328       359       342       313
     239       359       386       375       342
     240       386       410       402       375
     241        58        59        48        45
     242        59        64        51        48
     243        64        67        54        51
     244        67        70        61        54
     245        70        80        68        61
     246        80        89        77        68
     247        89       103        86        77
     248       103       118       102        86
     249       118       132       121       102
     250       132       149       140       121
     251       149       172       159       140
     252       172       192       174       159
     253       192       213       195       174
     254       213       235       222       195
     255       235       257       247       222
     256       257       283       272       247
     257       283       313       300       272
     258       313       342       332       300
     259       342       375       365       332
     260       375       402       391       365
     261        45        48        37        35
     262        48        51        39        37
     263        51        54        43        39
     264        54        61        49        43
     265        61        68        55        49
     266        68        77        65        55
     267        77        86        78        65
     268        86       102        90        78
     269       102       121       108        90
     270       121       140       124       108
     271       140       159       145       124
     272       159       174       165       145
     273       174       195       188       165
     274       195       222       211       188
     275       222       247       236       211
     276       247       272       262       236
     277       272       300       289       262
     278       300       332       317       289
     279       332       365       349       317
     280       365       391       382       349
     281        35        37        28        24
     282        37        39        30        28
     283        39        43        33        30
     284        43        49        41        33
     285        49        55        46        41
     286        55        65        56        46
     287        65        78        69        56
     288        78        90        81        69
     289        90       108        96        81
     290       108       124       114        96
     291       124       145       136       114
     292       145       165       155       136
     293       165       188       175       155
     294       188       211       201       175
     295       211       236       226       201
     296       236       262       251       226
     297       262       289       279       251
     298       289       317       310       279
     299       317       349       340       310
     300       349       382       376       340
     301        24        28        19        16
     302        28        30        21        19
     303        30        33        25        21
     304        33        41        31        25
     305        41        46        40        31
     306        46        56        50        40
     307        56        69        62        50
     308        69        81        71        62
     309        81        96        85        71
     310        96       114       104        85
     311       114       136       127       104
     312       136       155       147       127
     313       155       175       169       147
     314       175       201       194       169
     315       201       226       216       194
     316       226       251       246       216
     317       251       279       271       246
     318       279       310       305       271
     319       310       340       337       305
     320       340       376       366       337
     321        16        19        13        11
     322        19        21        14        13
     323        21        25        20        14
     324        25        31        26        20
     325        31        40        32        26
     326        40        50        42        32
     327        50        62        53        42
     328        62        71        66        53
     329        71        85        82        66
     330        85       104        97        82
     331       104       127       120        97
     332       127       147       142       120
     333       147       169       163       142
     334       169       194       190       163
     335       194       216       215       190
     336       216       246       238       215
     337       246       271       269       238
     338       271       305       296       269
     339       305       337       331       296
     340       337       366       360       331
     341        11        13         8         5
     342        13        14         9         8
     343        14        20        15         9
     344        20        26        22        15
     345        26        32        29        22
     346        32        42        38        29
     347        42        53        52        38
     348        53        66        63        52
     349        66        82        76        63
     350        82        97        94        76
     351        97       120       117        94
     352       120       142       137       117
     353       142       163       160       137
     354       163       190       183       160
     355       190       215       208       183
     356       215       238       232       208
     357       238       269       265       232
     358       269       296       294       265
     359       296       331       323       294
     360       331       360       357       323
     361         5         8         4         3
     362         8         9         7         4
     363         9        15        12         7
     364        15        22        18        12
     365        22        29        27        18
     366        29        38        36        27
     367        38        52        47        36
     368        52        63        60        47
     369        63        76        74        60
     370        76        94        91        74
     371        94       117       111        91
     372       117       137       133       111
     373       137       160       156       133
     374       160       183       179       156
     375       183       208       206       179
     376       208       232       230       206
     377       232       265       258       230
     378       265       294       288       258
     379       294       323       320       288
     380       323       357       354       320
     381         3         4         2         1
     382         4         7         6         2
     383         7        12        10         6
     384        12        18        17        10
     385        18        27        23        17
     386        27        36        34        23
     387        36        47        44        34
     388        47        60        57        44
     389        60        74        73        57
     390        74        91        87        73
     391        91       111       110        87
     392       111       133       129       110
     393       133       156       154       129
     394       156       179       177       154
     395       179       206       204       177
     396       206       230       228       204
     397       230       258       255       228
     398       258       288       287       255
     399       288       320       318       287
     400       320       354       351       318
