elem_tag,node_i,node_j,sect_id,transFlag,mass_addl,location_tracker,elem_type,material
1,100001,100017,col_c1,1,85.55738872,c1,elasticBeamColumn,
2,110017,100033,col_c1,1,85.55738872,c1,elasticBeamColumn,
3,110033,100289,col_c1,1,85.55738872,c1,elasticBeamColumn,
4,110289,100049,col_c2,1,85.92132505,c1,elasticBeamColumn,
5,110049,100065,col_c2,1,85.92132505,c1,elasticBeamColumn,
6,110065,100081,col_c2,1,85.92132505,c1,elasticBeamColumn,
7,110081,100293,col_c2,1,85.92132505,c1,elasticBeamColumn,
8,110293,100097,col_c3,1,84.86445393,c1,elasticBeamColumn,
9,110097,100113,col_c3,1,84.86445393,c1,elasticBeamColumn,
10,110113,100129,col_c3,1,84.86445393,c1,elasticBeamColumn,
11,110129,100297,col_c3,1,84.86445393,c1,elasticBeamColumn,
12,110297,100145,col_c4,1,82.44015269,c1,elasticBeamColumn,
13,110145,100161,col_c4,1,82.44015269,c1,elasticBeamColumn,
14,110161,100177,col_c4,1,82.44015269,c1,elasticBeamColumn,
15,110177,100301,col_c4,1,82.44015269,c1,elasticBeamColumn,
16,110301,100193,col_c5,1,81.57026398,c1,elasticBeamColumn,
17,110193,100209,col_c5,1,81.57026398,c1,elasticBeamColumn,
18,110209,100225,col_c5,1,81.57026398,c1,elasticBeamColumn,
19,110225,100305,col_c5,1,81.57026398,c1,elasticBeamColumn,
20,110305,100241,col_c6,1,78.88586957,c1,elasticBeamColumn,
21,110241,100257,col_c6,1,78.88586957,c1,elasticBeamColumn,
22,110257,100273,col_c6,1,78.88586957,c1,elasticBeamColumn,
23,110273,100309,col_c6,1,78.88586957,c1,elasticBeamColumn,
24,110309,100377,col_c7,1,78.33414208,c1,elasticBeamColumn,
25,110377,100381,col_c7,1,78.33414208,c1,elasticBeamColumn,
26,110381,100401,col_c7,1,78.33414208,c1,elasticBeamColumn,
27,100418,100431,col_c8,1,112.6444423,c1,elasticBeamColumn,
28,110431,100447,col_c8,1,84.21103994,c1,elasticBeamColumn,
29,110447,100449,col_c8,1,50.99847955,c1,elasticBeamColumn,
30,110449,100453,col_c8,1,27.70655409,c1,elasticBeamColumn,
31,110453,100457,col_c8,1,8.296616201,c1,elasticBeamColumn,
32,100004,100020,col_c1,1,85.55738872,c4,elasticBeamColumn,
33,110020,100036,col_c1,1,85.55738872,c4,elasticBeamColumn,
34,110036,100290,col_c1,1,85.55738872,c4,elasticBeamColumn,
35,110290,100052,col_c2,1,85.92132505,c4,elasticBeamColumn,
36,110052,100068,col_c2,1,85.92132505,c4,elasticBeamColumn,
37,110068,100084,col_c2,1,85.92132505,c4,elasticBeamColumn,
38,110084,100294,col_c2,1,85.92132505,c4,elasticBeamColumn,
39,110294,100100,col_c3,1,84.86445393,c4,elasticBeamColumn,
40,110100,100116,col_c3,1,84.86445393,c4,elasticBeamColumn,
41,110116,100132,col_c3,1,84.86445393,c4,elasticBeamColumn,
42,110132,100298,col_c3,1,84.86445393,c4,elasticBeamColumn,
43,110298,100148,col_c4,1,82.44015269,c4,elasticBeamColumn,
44,110148,100164,col_c4,1,82.44015269,c4,elasticBeamColumn,
45,110164,100180,col_c4,1,82.44015269,c4,elasticBeamColumn,
46,110180,100302,col_c4,1,82.44015269,c4,elasticBeamColumn,
47,110302,100196,col_c5,1,81.57026398,c4,elasticBeamColumn,
48,110196,100212,col_c5,1,81.57026398,c4,elasticBeamColumn,
49,110212,100228,col_c5,1,81.57026398,c4,elasticBeamColumn,
50,110228,100306,col_c5,1,81.57026398,c4,elasticBeamColumn,
51,110306,100244,col_c6,1,78.88586957,c4,elasticBeamColumn,
52,110244,100260,col_c6,1,78.88586957,c4,elasticBeamColumn,
53,110260,100276,col_c6,1,78.88586957,c4,elasticBeamColumn,
54,110276,100310,col_c6,1,78.88586957,c4,elasticBeamColumn,
55,110310,100378,col_c7,1,78.33414208,c4,elasticBeamColumn,
56,110378,100384,col_c7,1,78.33414208,c4,elasticBeamColumn,
57,110384,100411,col_c7,1,78.33414208,c4,elasticBeamColumn,
58,100420,100430,col_c8,1,112.6444423,c4,elasticBeamColumn,
59,110430,100446,col_c8,1,84.21103994,c4,elasticBeamColumn,
60,110446,100452,col_c8,1,50.99847955,c4,elasticBeamColumn,
61,110452,100456,col_c8,1,27.70655409,c4,elasticBeamColumn,
62,110456,100460,col_c8,1,8.296616201,c4,elasticBeamColumn,
63,100013,100029,col_c1,1,85.55738872,c13,elasticBeamColumn,
64,110029,100045,col_c1,1,85.55738872,c13,elasticBeamColumn,
65,110045,100291,col_c1,1,85.55738872,c13,elasticBeamColumn,
66,110291,100061,col_c2,1,85.92132505,c13,elasticBeamColumn,
