Period(s) RotD50Sa(g) RotD100Sa(g)
0.1 0.18508825210034724 0.24125306929225132
0.2 0.21042777165618198 0.22660404196917724
0.30000000000000004 0.28378171045590983 0.31874492873143667
0.4 0.2631604641368853 0.34036470577048317
0.5 0.30599757399067606 0.35961054129660264
0.6 0.34153639392062196 0.3836520665048489
0.7000000000000001 0.36707765317740537 0.4156249035699564
0.8 0.37189508009089 0.4374931932539235
0.9 0.31324932578158304 0.39831929459313326
1.0 0.3039972111375078 0.3786677767118742
1.2 0.3071137833891143 0.3976053980962456
1.4 0.33771549776711696 0.45127688730866616
1.5999999999999999 0.3104584931614006 0.4078309814635873
1.7999999999999998 0.250905252971016 0.3368678699475568
1.9999999999999998 0.18411100776081996 0.26747199720165105
2.1999999999999997 0.14797017825249809 0.20826149177560874
2.5 0.11246303965838184 0.15735037066998922
3.0 0.08532445565298996 0.12346687849007479
3.5 0.07905312008274004 0.0964778373689506
4.0 0.05718030726118972 0.07213198184275528
4.5 0.04083282412230102 0.06190899656935006
5.0 0.03441551132747345 0.046466427619838074
